index,City,Card Type,Exp Type,Gender,Month,DayOfWeek,IsWeekend,Cluster_KMeans,Cluster_KPrototypes,Log_Amount,Amount_Category,Amount
238,8,3,0,0,3,1,0,2,1,0.24231290882417483,4.0,1.2741928366256399
244,170,1,0,0,10,3,0,3,3,0.282251243796392,4.0,1.3261118555129419
245,126,1,0,0,4,6,1,0,2,0.27525679123958924,4.0,1.3168687918224562
250,126,1,0,0,11,4,0,3,3,0.2505655114607237,4.0,1.284751753133174
256,126,0,0,0,1,4,0,0,2,0.19528256239147798,3.0,1.215654436189162
257,170,2,0,0,3,1,0,2,1,0.2431248820107287,4.0,1.2752278671951474
259,126,3,0,0,2,5,1,0,2,0.2563582701514596,4.0,1.292215607298169
260,8,3,0,0,1,4,0,0,2,0.33687275793455856,4.0,1.400560842145803
261,170,1,0,0,4,1,0,2,1,0.1983238987050485,3.0,1.219357278110307
268,126,0,0,0,10,4,0,3,3,0.33203314384014027,4.0,1.39379904359966
270,8,3,0,0,8,2,0,1,0,0.34205387612734384,4.0,1.4078361442303065
272,126,1,0,0,3,0,0,2,1,0.20217733831713644,3.0,1.2240650625030087
273,8,2,0,0,9,2,0,1,0,0.18463782873523196,3.0,1.2027827478858097
274,170,0,0,0,1,3,0,2,1,0.22325346712442606,4.0,1.2501374023139753
278,170,3,0,0,8,2,0,1,0,0.32245890490148804,4.0,1.3805181571641767
281,8,3,0,0,3,3,0,2,1,0.3533975989473309,4.0,1.4238971709164434
286,8,3,0,0,4,0,0,2,1,0.21504159220629104,3.0,1.2399134666302936
287,170,2,0,0,4,1,0,2,1,0.35389686572565365,4.0,1.4246082529646806
292,71,1,0,0,8,0,0,1,0,0.2688969931749214,4.0,1.3085203475777074
296,126,2,0,0,10,2,0,1,0,0.3691942364454544,4.0,1.446568552722371
302,170,2,0,0,11,3,0,3,3,0.2277137042700968,4.0,1.2557257650400373
304,126,2,0,0,4,6,1,0,2,0.19221787987341943,3.0,1.2119345443458447
305,170,1,0,0,4,5,1,0,2,0.2680849758885469,4.0,1.3074582377200443
306,126,3,0,0,4,2,0,2,1,0.3419947455252809,4.0,1.4077529004926426
307,71,2,0,0,10,6,1,3,3,0.2861664902735808,4.0,1.3313140876486351
308,126,3,0,0,4,1,0,2,1,0.3303580207489386,4.0,1.3914662130718745
317,126,2,0,0,12,0,0,1,0,0.31862293955893867,4.0,1.3752326812908195
318,71,1,0,0,5,0,0,2,1,0.20640850584419726,3.0,1.2292552593995218
319,71,2,0,0,7,5,1,3,3,0.3195807612222227,4.0,1.3765505399810647
320,126,2,0,0,10,3,0,3,3,0.3075275301231041,4.0,1.3600582505576329
325,8,2,0,0,2,4,0,0,2,0.23310865799542624,4.0,1.2625186546207294
329,8,0,0,0,6,2,0,2,1,0.34940860923980827,4.0,1.4182285732625126
332,170,2,0,0,5,2,0,2,1,0.3287508391593995,4.0,1.3892316703307284
334,170,0,0,0,3,1,0,2,1,0.2836184529871434,4.0,1.3279261678193752
339,8,3,0,0,3,0,0,2,1,0.24105982369655646,4.0,1.272597164497649
345,8,2,0,0,8,3,0,3,3,0.29155942072605157,4.0,1.3385131665516634
352,8,0,0,0,4,0,0,2,1,0.26792157262004124,4.0,1.3072446122245935
353,170,3,0,0,8,2,0,1,0,0.039330760102321415,0.0,1.0401144551246049
354,71,3,0,0,1,4,0,0,2,0.03327719592981134,0.0,1.0338370749554695
355,71,2,0,0,9,4,0,3,3,0.17827623136669496,3.0,1.1951554150552819
356,71,2,0,0,3,0,0,2,1,0.1859219618698695,3.0,1.2043282731838825
357,8,2,0,0,5,2,0,2,1,0.11105010580114354,1.0,1.1174508962241443
358,170,1,0,0,12,3,0,3,3,0.05897136035876649,1.0,1.06074486095287
359,126,0,0,0,2,2,0,2,1,0.24274022108773166,4.0,1.2747374311985493
360,170,2,0,0,2,4,0,0,2,0.042077043707441586,0.0,1.0429748303031277
361,126,0,0,0,4,6,1,0,2,0.0077854991078137835,0.0,1.0078158849110195
362,170,0,0,0,5,4,0,0,2,0.17546274157568387,3.0,1.1917975833239725
363,71,3,0,0,4,3,0,2,1,0.12003154134805674,2.0,1.127532414910859
364,126,2,0,0,4,0,0,2,1,0.2221706308547826,4.0,1.2487844408427877
365,170,0,0,0,1,2,0,2,1,0.24301162299825765,4.0,1.2750834443249834
366,170,1,0,0,1,4,0,0,2,0.15844861332476834,2.0,1.1716917133366498
367,8,0,0,0,5,2,0,2,1,0.01211896798193477,0.0,1.0121927002262625
368,71,1,0,0,2,3,0,2,1,0.0024261669166444674,0.0,1.002429112441228
369,71,0,0,0,1,2,0,2,1,0.15774646892990224,2.0,1.1708693053259944
370,126,2,0,0,2,3,0,2,1,0.25160167263902533,4.0,1.286083652935796
371,8,1,0,0,10,6,1,3,3,0.11580015983769998,2.0,1.122771474878444
372,126,3,0,0,12,1,0,1,0,0.07725560108840393,1.0,1.0803181716064638
373,8,2,0,0,10,6,1,3,3,0.06137100000626578,1.0,1.0632933228493027
374,71,1,0,0,3,3,0,2,1,0.05214237097196583,0.0,1.0535257233178748
375,8,2,0,0,3,2,0,2,1,0.1612872672259395,2.0,1.1750224657798032
376,126,0,0,0,11,0,0,1,0,0.0751041082708128,1.0,1.0779963733812603
377,71,2,0,0,6,2,0,2,1,0.13359382347892415,2.0,1.1429284946322833
378,126,3,0,0,11,5,1,3,3,0.23379001543186562,4.0,1.2633791742221223
379,170,1,0,0,4,2,0,2,1,0.23523457678360152,4.0,1.2652055217677358
380,126,2,0,0,6,1,0,2,1,0.0835034783681032,1.0,1.087088996581992
381,126,2,0,0,6,0,0,2,1,0.05834051144885302,1.0,1.0600759022417638
382,126,1,0,0,4,3,0,2,1,0.1817418586036696,3.0,1.1993045637626971
383,126,3,0,0,1,1,0,2,1,0.23718431812217478,4.0,1.2676747516728983
384,8,0,0,0,12,1,0,1,0,0.18108182763605218,3.0,1.198513246786591
385,170,0,0,0,10,3,0,3,3,0.08618093507693228,1.0,1.0900035303368263
386,170,3,0,0,7,3,0,3,3,0.08242993104992032,1.0,1.0859225813180995
387,170,1,0,0,5,4,0,0,2,0.15104276943782624,2.0,1.1630463998587866
388,170,2,0,0,4,0,0,2,1,0.0011356820349015496,0.0,1.001136327165942
389,71,3,0,0,6,2,0,2,1,0.22592863545707206,4.0,1.2534862076158992
390,126,1,0,0,6,4,0,0,2,0.05766098164217008,0.0,1.0593557937641414
391,71,1,0,0,3,1,0,2,1,0.014498151849007242,0.0,1.0146037598087199
392,170,2,0,0,7,4,0,3,3,0.2165998909050521,4.0,1.2418471283919317
393,126,1,0,0,3,0,0,2,1,0.10739680934637755,1.0,1.1133759648250077
394,71,0,0,0,3,0,0,2,1,0.09556525786934998,1.0,1.1002806216602212
395,126,3,0,0,3,0,0,2,1,0.15915283117366272,2.0,1.1725171301571
396,170,0,0,0,6,5,1,0,2,0.24637560489994598,4.0,1.279380024712358
397,126,2,0,0,12,5,1,3,3,0.02379612370643634,0.0,1.024081510663222
398,126,3,0,0,11,0,0,1,0,0.14620892316750977,2.0,1.1574379784007574
399,71,2,0,0,5,5,1,0,2,0.21517990048596056,3.0,1.240084968788613
400,126,1,0,0,8,6,1,3,3,0.12523576472595663,2.0,1.1334156409968388
401,71,0,0,0,1,0,0,2,1,0.10252239375766699,1.0,1.1079621130670603
402,126,0,0,0,1,4,0,0,2,0.1292864930498954,2.0,1.138016111173516
403,71,2,0,0,1,0,0,2,1,0.09371405513128564,1.0,1.0982456633021487
404,126,3,0,0,12,1,0,1,0,0.024256313391034578,0.0,1.024552890864451
405,126,0,0,0,3,1,0,2,1,0.2076731506341533,3.0,1.230810814063578
406,8,0,0,0,10,1,0,1,0,0.018903080331957138,0.0,1.0190828746569958
407,170,0,0,0,1,2,0,2,1,0.25757838931290705,4.0,1.2937932265673893
408,126,3,0,0,1,5,1,0,2,0.0838134203118172,1.0,1.087425983279041
409,8,1,0,0,2,5,1,0,2,0.09948170661712133,1.0,1.1045982637161609
410,126,1,0,0,10,1,0,1,0,0.12092508641172554,2.0,1.1285403661922109
411,170,2,0,0,8,3,0,3,3,0.1586129466581862,2.0,1.1718842771635347
412,170,1,0,0,5,5,1,0,2,0.044492576896877245,0.0,1.045497215848003
413,170,3,0,0,4,2,0,2,1,0.14677546302756636,2.0,1.1580938989360847
414,126,2,0,0,11,2,0,1,0,0.08293130938915304,1.0,1.086467175891009
415,126,0,0,0,11,6,1,3,3,0.16803308859414418,3.0,1.182975753004798
416,71,3,0,0,6,4,0,0,2,0.13750164873428727,2.0,1.1474035977341657
417,8,1,0,0,11,2,0,1,0,0.21751611610544083,4.0,1.2429854614310702
418,71,1,0,0,4,4,0,0,2,0.21805738417823367,4.0,1.2436584318885697
419,126,3,0,0,4,1,0,2,1,0.03114553215844651,0.0,1.0316356291220694
420,126,1,0,0,12,0,0,1,0,0.11106267102813451,1.0,1.1174649373365213
421,170,1,0,0,11,5,1,3,3,0.012280464370166406,0.0,1.0123561788917952
422,170,0,0,0,2,6,1,0,2,0.2584439027647674,4.0,1.2949135067477575
423,170,1,0,0,1,0,0,2,1,0.06198485822806904,1.0,1.0639462345748352
424,71,1,0,0,2,0,0,2,1,0.1604376273751375,2.0,1.174024543864435
425,126,2,0,0,11,1,0,1,0,0.06949688724644214,1.0,1.0719687244251168
426,170,2,0,0,9,5,1,3,3,0.23869666761525946,4.0,1.269593369385561
427,126,3,0,0,6,6,1,0,2,0.07730851686367647,1.0,1.0803753389925703
428,8,3,0,0,7,6,1,3,3,0.024708463755368858,0.0,1.0250162475728934
429,170,3,0,0,1,4,0,0,2,0.11291162745970007,1.0,1.1195329926023396
430,170,2,0,0,12,4,0,3,3,0.0072489647385774875,0.0,1.0072753020845033
431,126,2,0,0,4,1,0,2,1,0.25127330703490647,4.0,1.2856614166278864
432,71,0,0,0,4,0,0,2,1,0.06412710714603746,1.0,1.066227915336104
433,8,0,0,0,7,4,0,3,3,0.01331520552225323,0.0,1.0134042476370815
434,8,1,0,0,10,4,0,3,3,0.052075730073088716,0.0,1.0534555177559894
435,170,0,0,0,10,4,0,3,3,0.17261008855076615,3.0,1.188402642938524
436,8,0,0,0,1,5,1,0,2,0.04282778042109065,0.0,1.0437581237864466
437,170,1,0,0,11,4,0,3,3,0.20451711795264652,3.0,1.2269324582377201
438,126,0,0,0,3,2,0,2,1,0.2101635139759317,3.0,1.2338798000545597
439,126,2,0,0,12,4,0,3,3,0.07536457823451728,1.0,1.078277195628801
440,170,3,0,0,3,6,1,0,2,0.04769340100140732,0.0,1.048849029959722
441,170,2,0,0,10,2,0,1,0,0.1848621083837112,3.0,1.2030525378307684
442,71,2,0,0,7,1,0,1,0,0.17944702473801313,3.0,1.1965555145465925
443,170,0,0,0,4,5,1,0,2,0.22007708967531506,4.0,1.2461727939406582
444,126,1,0,0,11,1,0,1,0,0.08396927742712529,1.0,1.0875954795641638
445,71,2,0,0,8,2,0,1,0,0.15438562594258817,2.0,1.1669408026702184
446,71,0,0,0,3,1,0,2,1,0.22660770483022494,4.0,1.254337700787907
447,126,1,0,0,1,0,0,2,1,0.09692615426687272,1.0,1.101779008938171
448,170,3,0,0,1,5,1,0,2,0.1474611185696698,2.0,1.158888224721986
449,71,1,0,0,1,1,0,2,1,0.25993915723656924,4.0,1.296851180255789
450,8,2,0,0,2,4,0,0,2,0.08495918670176597,1.0,1.0886726334708026
451,126,2,0,0,2,3,0,2,1,0.07368335328146697,1.0,1.076465892132163
452,71,0,0,0,1,4,0,0,2,0.06365949976776142,1.0,1.0657294558467192
453,170,3,0,0,11,3,0,3,3,0.17738379730917098,3.0,1.194089293451225
454,71,2,0,0,7,2,0,1,0,0.16350743654330238,2.0,1.1776341126819327
455,71,0,0,0,5,4,0,0,2,0.22984473509967537,4.0,1.2584046086942569
456,126,3,0,0,11,6,1,3,3,0.09230854012783608,1.0,1.096703146813871
457,126,0,0,0,5,4,0,0,2,0.20116985093720097,3.0,1.2228324534236243
458,170,0,0,0,1,2,0,2,1,0.20245260172383364,3.0,1.2244020492000578
459,8,2,0,0,1,4,0,0,2,0.09772415866139286,1.0,1.1026585843349328
460,170,1,0,0,11,3,0,3,3,0.04709940834428618,0.0,1.0482262063321406
461,71,1,0,0,11,3,0,3,3,0.13101851451897267,2.0,1.1399888874624902
462,126,1,0,0,6,3,0,2,1,0.058687669462679615,1.0,1.060443979973362
463,126,3,0,0,1,3,0,2,1,0.023976308298203488,0.0,1.02426605099732
464,170,2,0,0,12,0,0,1,0,0.22283861209907144,4.0,1.2496188840926232
465,71,0,0,0,5,6,1,0,2,0.08671446368212132,1.0,1.090585233563875
466,170,3,0,0,4,0,0,2,1,0.07776885878705102,1.0,1.0808727955453568
467,170,1,0,0,4,1,0,2,1,0.23702923826760738,4.0,1.2674781760996197
468,170,3,2,0,11,3,0,3,3,0.1764619829756057,3.0,1.1929890720028242
469,8,0,2,0,4,1,0,2,1,0.09253622506224929,1.0,1.0969528780268627
470,71,3,2,0,3,5,1,0,2,0.20067270133333612,3.0,1.2222246738450182
471,71,1,2,0,3,3,0,2,1,0.17765253482394178,3.0,1.1944102331627005
472,170,2,2,0,2,6,1,0,2,0.0600278735103643,1.0,1.0618661440698365
473,170,2,2,0,2,6,1,0,2,0.2031600741852541,3.0,1.2252685864210409
474,8,2,2,0,10,6,1,3,3,0.012829159055156445,0.0,1.0129118057672866
475,8,0,2,0,2,2,0,2,1,0.24638501194268536,4.0,1.279392059951538
476,71,0,2,0,9,2,0,1,0,0.22547566622002294,4.0,1.2529185455012275
477,71,2,2,0,5,5,1,0,2,0.1678228100421207,3.0,1.1827270247284047
478,71,0,2,0,8,2,0,1,0,0.23095432712982725,4.0,1.2598016993757724
479,71,0,2,0,7,0,0,1,0,0.09098712737847635,1.0,1.0952549063658392
480,71,0,2,0,3,6,1,0,2,0.14570361766578607,2.0,1.1568532663639135
481,126,2,2,0,2,3,0,2,1,0.1305406811804342,2.0,1.1394442928895807
482,8,1,2,0,1,6,1,0,2,0.2532286496420747,4.0,1.2881777845531717
483,8,1,2,0,1,3,0,2,1,0.04748587845171187,0.0,1.0486313927178779
484,71,1,2,0,4,3,0,2,1,0.042173200234957305,0.0,1.0430751239629636
485,71,1,2,0,11,5,1,3,3,0.03405298363563567,0.0,1.0346394242341577
486,170,2,2,0,1,6,1,0,2,0.011940598103774042,0.0,1.0120121716385577
487,126,1,2,0,4,2,0,2,1,0.19289706783562843,3.0,1.2127579552930983
488,170,1,2,0,10,1,0,1,0,0.09076733266585227,1.0,1.0950142015822328
489,71,1,2,0,12,5,1,3,3,0.1209028686034403,2.0,1.1285152927772517
490,8,0,2,0,3,1,0,2,1,0.10874890660808896,1.0,1.1148823755957444
491,71,0,2,0,4,5,1,0,2,0.055551310209056105,0.0,1.0571232568961921
492,8,3,2,0,1,6,1,0,2,0.18990468652056028,3.0,1.2091343453632235
493,8,0,2,0,7,1,0,1,0,0.01482035118841977,0.0,1.0149307171397852
494,71,2,2,0,12,6,1,3,3,0.14419398173918638,2.0,1.155108156682767
495,170,3,2,0,6,1,0,2,1,0.2198823058565661,4.0,1.2459300832838551
496,170,2,2,0,10,2,0,1,0,0.13880145289846166,2.0,1.1488959673925252
497,8,0,2,0,8,4,0,3,3,0.230674058292852,4.0,1.2594486656931496
498,126,3,2,0,2,6,1,0,2,0.06691691273926154,1.0,1.0692066370332334
499,170,0,2,0,1,0,0,2,1,0.2095057168407471,3.0,1.2330684243464864
500,8,3,2,0,8,0,0,1,0,0.03352842308849741,0.0,1.0340968355344449
501,8,3,2,0,4,5,1,0,2,0.14494040847300482,2.0,1.1559706821573568
502,71,0,2,0,4,1,0,2,1,0.25201879883276235,4.0,1.2866202240159186
503,71,2,2,0,9,3,0,3,3,0.15934698143545603,2.0,1.1727447967649276
504,71,1,2,0,12,2,0,1,0,0.178456636288127,3.0,1.195371046423929
505,8,1,2,0,2,0,0,2,1,0.1503983969993276,2.0,1.1622972062198116
506,71,2,2,0,1,0,0,2,1,0.018907016948494282,0.0,1.019086886403389
507,71,2,2,0,7,3,0,3,3,0.23578218698600564,4.0,1.2658985509572027
508,170,2,2,0,3,0,0,2,1,0.14495081978941174,2.0,1.1559827173965371
509,8,2,2,0,10,0,0,1,0,0.25348865822226563,4.0,1.2885127653770239
510,8,2,2,0,10,0,0,1,0,0.0645362018439979,1.0,1.0666641927563907
511,126,1,2,0,9,6,1,3,3,0.1991082679282691,3.0,1.2203140796251424
512,170,0,2,0,4,3,0,2,1,0.2490538189955594,4.0,1.2828110708153473
513,71,2,2,0,8,6,1,3,3,0.1872310624684882,3.0,1.2059058924531028
514,71,1,2,0,11,3,0,3,3,0.2173506926027414,4.0,1.2427798594284063
515,8,2,2,0,4,5,1,0,2,0.22065960490235323,4.0,1.2468989200378708
516,170,2,2,0,8,4,0,3,3,0.1054067499661886,1.0,1.1111624837524272
517,126,0,2,0,3,0,0,2,1,0.24442329768610116,4.0,1.276884718455638
518,126,3,2,0,1,2,0,2,1,0.19743354393615561,3.0,1.2182721007108814
519,8,0,2,0,11,4,0,3,3,0.14120007817466534,2.0,1.1516550459746138
520,126,2,2,0,4,1,0,2,1,0.040889710506597246,0.0,1.0417372065407513
521,8,0,2,0,1,6,1,0,2,0.0961548426483509,1.0,1.10092952163936
522,170,3,2,0,3,6,1,0,2,0.09736299724606287,1.0,1.1022604185053837
523,71,1,2,0,3,1,0,2,1,0.11957423538817005,2.0,1.127016905499302
524,170,1,2,0,6,1,0,2,1,0.24493999413843762,4.0,1.277544650737359
525,71,2,2,0,3,3,0,2,1,0.22437199556246018,4.0,1.2515364988686875
526,8,2,2,0,2,2,0,2,1,0.2531858273743332,4.0,1.2881226230402618
527,71,0,2,0,10,1,0,1,0,0.11747185402410987,2.0,1.1246499751271724
528,71,3,2,0,8,2,0,1,0,0.15365051923518924,2.0,1.1660832918786206
529,8,3,2,0,4,0,0,2,1,0.19781134208532292,3.0,1.2187324486095288
530,71,0,2,0,3,3,0,2,1,0.03263574695128785,0.0,1.0331741338639537
531,71,3,2,0,5,3,0,2,1,0.019435367076859875,0.0,1.0196254633567083
532,71,1,2,0,10,0,0,1,0,0.2189489099069356,4.0,1.2447676797663558
533,8,2,2,0,12,4,0,3,3,0.12330220401245792,2.0,1.1312262304026188
534,126,1,2,0,1,4,0,0,2,0.24426148068506545,4.0,1.2766781135163758
535,71,3,2,0,5,1,0,2,1,0.12904410545154982,2.0,1.137740303608967
536,8,2,2,0,1,4,0,0,2,0.12811808473423436,2.0,1.136687220180689
537,8,2,2,0,3,1,0,2,1,0.1373032101047159,2.0,1.1471759311263379
538,71,2,2,0,10,4,0,3,3,0.001395114120492768,0.0,1.001396087744917
539,71,0,2,0,7,2,0,1,0,0.029689117084492043,0.0,1.0301342330343246
540,126,2,2,0,10,2,0,1,0,0.05286846889385301,0.0,1.0542909639424234
541,170,0,2,0,11,4,0,3,3,0.12701279326002038,2.0,1.1354315435595423
542,8,1,2,0,12,0,0,1,0,0.16657039796726625,3.0,1.1812466903092254
543,126,2,2,0,3,2,0,2,1,0.07787277764136495,1.0,1.0809851244443731
544,8,1,2,0,11,4,0,3,3,0.2359889487294823,4.0,1.2661603174093747
545,8,3,2,0,5,6,1,0,2,0.23012762673215328,4.0,1.2587606511866745
546,170,3,2,0,3,1,0,2,1,0.22372267976616358,4.0,1.250724120224016
547,126,2,2,0,10,0,0,1,0,0.20849989012270093,3.0,1.2318287947109134
548,170,3,2,0,2,3,0,2,1,0.04606745207350915,0.0,1.0471450406791085
549,126,2,2,0,1,3,0,2,1,0.25959572513992873,4.0,1.296405876406117
550,170,2,2,0,12,3,0,3,3,0.22042792677945425,4.0,1.2466100742975432
551,8,1,2,0,3,3,0,2,1,0.09082778102785745,1.0,1.0950803953977246
552,8,1,2,0,8,4,0,3,3,0.15251111117375735,2.0,1.164755403822392
553,8,3,2,0,8,4,0,3,3,0.1749383292442692,3.0,1.1911727538231942
554,170,3,2,0,4,6,1,0,2,0.14771206177129131,2.0,1.1591790763355103
555,8,0,2,0,11,4,0,3,3,0.1932377289695706,3.0,1.2131711651716226
556,170,0,2,0,5,6,1,0,2,0.2221706308547826,4.0,1.2487844408427877
557,126,3,2,0,2,0,0,2,1,0.2462266482625156,4.0,1.2791894667586694
558,126,3,2,0,12,4,0,3,3,0.20975213653865382,3.0,1.2333723141357895
559,71,3,2,0,6,5,1,0,2,0.09681327214027206,1.0,1.1016546447999742
