Ship_Type,Route_Type,Engine_Type,Maintenance_Status,Speed_Over_Ground_knots,Engine_Power_kW,Distance_Traveled_nm,Draft_meters,Weather_Condition,Cargo_Weight_tons,Operational_Cost_USD,Revenue_per_Voyage_USD,Turnaround_Time_hours,Efficiency_nm_per_kWh,Seasonal_Impact_Score,Weekly_Voyage_Count,Average_Load_Percentage,Cluster
Bulk Carrier,Long-haul,Heavy Fuel Oil (HFO),Good,12.5012425103474,2780.449639954,1474.07188485916,7.62074018375826,Rough,1109.80266148716,47653.1029809393,288285.649209624,25.1965653090158,1.35376881923094,1.04185238196015,7,87.9540437042977,0
Tanker,Long-haul,Diesel,Good,11.7187831853496,1994.02508984586,1320.45783631833,12.1458702206927,Calm,771.04992199312,405463.921962157,511613.244849969,47.4791728518151,1.28901233671041,0.990488644801096,7,68.0675918393936,1
Bulk Carrier,Transoceanic,Heavy Fuel Oil (HFO),Critical,20.7378375105245,2525.67289655209,1813.94556784012,10.9438324197465,Rough,1552.22498966372,270793.680420815,475171.911477295,38.7770807512248,1.33482291649462,0.687531821771735,2,80.7285567786045,2
Tanker,Long-haul,Diesel,Good,14.6720376937626,1930.37898254651,884.790102068329,5.29492456340583,Moderate,409.257267802038,256979.610446353,870358.091615444,54.1029440166829,0.567450154807911,1.26676525137601,4,98.2449531886132,1
Fish Carrier,Coastal,Diesel,Critical,23.7642868480701,1771.7694846572,1061.93297328207,8.52164731825691,Calm,1694.16954822707,118688.61975279,285852.409714974,40.8669816645246,0.836630046183497,0.785543679071058,3,94.856796747489,1
Bulk Carrier,Long-haul,Diesel,Good,22.6387999511209,1504.11585251777,1146.9156239444,12.5588731857327,Calm,699.980445537318,415284.917010822,456418.026487429,22.385037062934,0.463934582320767,0.849169463784595,6,59.8919759578687,0
Container Ship,Coastal,Heavy Fuel Oil (HFO),Good,15.2283472940014,1283.1424559329,713.205551700678,10.9115862251665,Moderate,1690.48305450469,471255.425541806,880435.929927906,25.6868991135621,0.177235981208715,0.638019053445003,3,68.6540176577787,0
Container Ship,Long-haul,Heavy Fuel Oil (HFO),Good,17.6715583396286,1845.7646990164,1708.79535456116,10.5082731422675,Rough,1883.33257228368,275322.820472543,137635.115964443,22.3461269499767,0.885948764621083,0.518018458845177,4,57.9375248785,0
Fish Carrier,Coastal,Diesel,Fair,14.0685489421205,2658.65616370007,1799.79640494216,12.0810702758604,Moderate,1568.52832277228,355591.146111438,834101.742586326,37.1224094602403,1.29799928450154,1.36214228197765,5,76.5784389341779,1
Bulk Carrier,Short-haul,Steam Turbine,Fair,18.0036474079269,1643.93654017106,177.166432220124,9.28847347159594,Moderate,1961.25077034065,396658.333203363,445673.619224784,48.2108770065673,0.542450768966732,1.28388245387612,6,91.2320826971996,2
Fish Carrier,Transoceanic,Diesel,Fair,11.0244439840909,2957.61413311283,801.86435449812,13.6442040259623,Calm,730.865274766953,221816.832377589,990098.802105868,46.3932771380363,0.997680618077586,1.19827183068098,1,65.9270163744882,3
Fish Carrier,Long-haul,Steam Turbine,Good,15.9620422898189,540.940219478802,1376.42028010259,14.675854222091,Moderate,687.198667347062,470099.747186853,744680.599441105,32.9836893655189,0.792326346064777,0.930670882472055,5,72.2267411981089,1
Fish Carrier,Long-haul,Heavy Fuel Oil (HFO),Good,21.4278838241054,2027.88543743352,1694.34412255268,11.7659445149907,Calm,1348.63086161433,280960.708629477,996686.221181215,18.5023135894009,0.155837709197013,0.888533873580281,9,68.6847266627035,1
Tanker,Transoceanic,Steam Turbine,Good,14.4889528181916,1541.61600526313,1602.75539915824,10.2491761867187,Rough,964.462576161243,297388.479128336,929996.610766515,19.2544998606764,0.160502837712569,1.30740788277316,3,84.8992692123059,3
Tanker,Short-haul,Heavy Fuel Oil (HFO),Critical,23.2909705768597,520.079259093579,1532.27522368982,11.4623485305867,Calm,1707.64762838421,33681.7555944006,896032.712006189,55.7862599388721,0.807247048384588,0.764879043748765,2,53.9516324474236,3
Container Ship,Coastal,Heavy Fuel Oil (HFO),Fair,10.1986619735919,504.481114378385,378.285380145183,12.1454652953254,Calm,1312.86865778197,308742.106997998,311763.555226756,65.3414360733849,1.02957657767325,0.541722618365667,1,66.400309514705,0
Container Ship,Transoceanic,Steam Turbine,Fair,23.0368204587523,1228.10388273256,150.198374273327,7.4342872873708,Moderate,247.279543329714,348531.248795767,708213.496391357,43.6681108851402,0.539485397177328,0.938560102339859,2,58.4466382598249,2
Fish Carrier,Coastal,Heavy Fuel Oil (HFO),Fair,13.0400710943843,2012.88774702756,1057.33371526818,13.3783855199819,Moderate,1318.90047459019,240552.92651884,849331.531069459,70.6986914258044,0.278903880355501,1.12220973501742,2,59.8121148701998,1
Tanker,Long-haul,Diesel,Fair,18.2654063723058,1223.16456416781,1592.74282805021,6.83152874228407,Calm,1806.10425125882,133451.064244051,605876.212843151,39.8622562732885,0.928184684791312,0.993693595923359,5,94.9806050636977,1
Fish Carrier,Short-haul,Steam Turbine,Good,24.2746387620763,2041.34661747878,1487.37171815006,5.5710686082283,Moderate,1182.93016245989,282347.795604252,432936.006485452,22.3164356269847,0.225859792310356,1.16080260283501,8,60.9654362621419,3
Container Ship,Short-haul,Heavy Fuel Oil (HFO),Fair,22.8976130715062,2450.57930754869,1229.56610342038,6.42026248049225,Moderate,166.635601653124,126959.532450636,891748.259205021,68.5762656758121,0.480981312581203,1.04234447524269,7,98.8772320650066,2
Fish Carrier,Short-haul,Diesel,Fair,19.4190715520677,709.283993166391,524.849581111782,7.78878250028769,Calm,1501.24804109205,311525.597052467,700534.061460474,31.8193959025151,0.955716101532434,1.4714393223623,1,55.5767122054314,3
Bulk Carrier,Short-haul,Diesel,Critical,21.6173110591708,2065.65162328348,1940.01071536603,9.75480010139028,Rough,542.514747498007,278975.108893873,478765.100082446,65.6507437298384,0.239954821711029,0.69180954249664,1,78.843438720819,2
Container Ship,Transoceanic,Diesel,Good,16.0101026513098,2523.39017942223,491.259922032687,13.8904556502993,Rough,1992.29874482015,492122.24063216,884546.050946957,60.4579768822465,0.832325137926201,1.43510391291328,4,96.1611659851745,2
Bulk Carrier,Transoceanic,Diesel,Critical,12.7945162812459,655.585416056616,993.388381050516,5.98563444570368,Moderate,208.42599133242,441678.964321633,449403.743915094,65.4280440341888,1.12399993072878,1.22796296011324,4,98.3750130384958,2
Bulk Carrier,Short-haul,Steam Turbine,Good,19.8368383660978,1630.23435649231,343.490128195423,14.9216014728794,Moderate,820.775431319036,215873.547707145,290499.596664224,13.7004784847511,1.25254168540446,0.857618330248159,9,88.3835563214742,2
Tanker,Short-haul,Steam Turbine,Good,22.6343698407766,2212.70515108659,732.294019581178,6.11199400789434,Moderate,1740.3892227805,253120.429097587,188031.609352631,71.935442190208,0.870818165001395,0.728884405143936,4,99.7435343354015,3
Bulk Carrier,Coastal,Steam Turbine,Fair,12.2850451977938,1398.2083926579,317.983422578431,5.45086237674045,Rough,155.850919720998,145272.398602958,520331.341722351,47.4890806882106,0.418677206149663,0.749874700547352,4,61.1595355766791,0
Bulk Carrier,Long-haul,Steam Turbine,Good,22.8057063938968,1238.72094785713,1635.06560452027,5.78977244520599,Calm,351.702098326174,390326.4966271,886689.166730059,37.9362731140662,1.48169347390159,1.05196943801191,9,54.9261156197812,0
Container Ship,Coastal,Steam Turbine,Good,20.3048655891251,1763.00691302385,1794.33911979125,7.29165108100154,Calm,791.690895542596,132032.423202863,676262.648245002,35.7396343803628,1.12682077873025,0.837892279453802,7,75.8917389286343,0
Tanker,Short-haul,Heavy Fuel Oil (HFO),Fair,13.6220213845574,1796.74416552773,948.240196107813,6.33593584247193,Rough,1091.45328673341,59734.9534330094,435887.684700743,53.0218841879989,0.908449087421705,0.986654679512369,6,75.8920351404469,3
Fish Carrier,Short-haul,Diesel,Fair,14.8613236644081,709.311738279881,1598.03696556199,6.73477203669813,Moderate,540.251322456049,141425.499831306,807517.086036783,58.0321286738653,0.565860643498876,1.35065504509336,8,74.1680442029939,3
Bulk Carrier,Short-haul,Diesel,Fair,23.0907679423744,907.993240325555,329.766336440472,5.83049346046479,Calm,1242.59053169203,477292.644200042,664940.153850855,54.517913385427,0.111746861395642,1.1415430801138,7,52.2964438724677,2
Bulk Carrier,Coastal,Diesel,Critical,16.881098558364,2386.47251143578,281.730231186289,13.5594342770733,Moderate,366.834193704382,421598.701852644,812525.108838517,37.3350404721591,1.15640941800735,1.06926608543585,9,60.4072506540005,0
Fish Carrier,Transoceanic,Steam Turbine,Good,22.9761530867195,2607.65721200511,185.582218308627,14.4244143683722,Moderate,84.2263833196451,314472.328719555,813657.002379018,58.5999861540154,0.705923400118428,0.71091478261309,5,85.9758210584253,3
Fish Carrier,Transoceanic,Diesel,Good,12.6277703827243,2310.34867681866,714.528414713581,14.7717339033198,Moderate,323.843423065145,70781.8966671067,416678.573368863,41.1833487544819,0.602909128343843,0.833673055098013,6,82.5169134603304,3
Container Ship,Transoceanic,Steam Turbine,Critical,16.2061178966373,1694.99220662439,1126.39546545357,6.09126195440615,Calm,1104.20890799745,42536.2096798976,901048.709018326,12.6862784836171,0.832666934927429,0.599958406339192,1,57.369825061646,2
Fish Carrier,Transoceanic,Heavy Fuel Oil (HFO),Fair,21.7207641174353,1087.72307312472,1504.26122795413,9.38491488416561,Moderate,579.59935283306,325352.157292889,581986.88677611,34.6272113557086,0.808952920623692,0.774147377775745,6,96.7826551470844,3
Fish Carrier,Transoceanic,Heavy Fuel Oil (HFO),Fair,14.2332428631897,2871.34027862033,1864.2006827515,9.86478531580343,Rough,1903.31628095701,390041.237710489,636618.729610368,13.1072103336351,0.596780960526543,1.07099859920339,4,71.6950988620467,3
Container Ship,Coastal,Heavy Fuel Oil (HFO),Good,13.0332236502778,1880.76773729207,1782.56048278642,11.9719826313585,Moderate,641.989755375347,62561.4317646214,181768.177503506,23.7839174390974,1.3155808624687,0.926936162043148,1,56.0765788381352,0
Container Ship,Coastal,Steam Turbine,Fair,13.6262973140524,2171.91305812184,1884.78457705024,8.03729271145237,Moderate,1022.99260507648,150803.177498724,400380.469163827,18.6025570633468,0.270597286586488,0.506002369422395,6,50.9252166006388,0
Fish Carrier,Long-haul,Steam Turbine,Good,24.1117750519006,2085.07955519281,1534.45979056303,14.2968638285942,Calm,1164.1045891293,227391.742427574,418596.24244555,61.7823784879236,0.949127918854366,0.751877384539392,6,79.3718503658235,1
Container Ship,Coastal,Diesel,Fair,18.7972320432215,2522.08716086825,1396.16697972809,9.85044893500298,Rough,236.666474453703,170901.001279549,429385.28736207,42.526320018459,0.668405226115956,1.00763853807072,1,68.5385445503265,0
Container Ship,Short-haul,Heavy Fuel Oil (HFO),Good,10.3308638391938,762.054484231647,738.347123810159,11.9002998947421,Moderate,87.8317923776215,362368.26132415,378330.210267952,25.793232028168,1.17927910126287,0.708511114340033,6,98.3064034881168,2
Bulk Carrier,Coastal,Diesel,Critical,15.5345703345784,2489.88383827423,1553.63649020992,8.77096527898716,Moderate,842.369994729634,407620.958897585,864534.045591298,33.3066533185813,0.465448780553699,1.09645500235548,1,93.0742229401293,0
Bulk Carrier,Long-haul,Diesel,Good,15.1900568552453,1765.80555606212,603.396943138487,5.12003951845023,Moderate,287.666029092107,107624.65064949,587512.080637533,12.6173022249196,0.599800167365831,1.08745319252937,6,85.5538396308348,0
Bulk Carrier,Short-haul,Heavy Fuel Oil (HFO),Fair,24.6083821658829,1528.22642230463,248.13983649518,14.6455113741783,Calm,1389.47652061366,279592.018479955,349190.141288769,67.5418597137667,0.695799192218363,1.2958036228451,7,73.7270616516603,2
Container Ship,Long-haul,Heavy Fuel Oil (HFO),Good,15.3789223837582,1144.16597529239,1648.53064626678,6.649504139225,Rough,642.686238166207,361888.992500955,275275.788998022,47.8561239809689,0.806564966042675,1.36280623599399,2,73.0049250806084,0
Tanker,Short-haul,Heavy Fuel Oil (HFO),Critical,10.8605534772636,678.180164453728,1367.99208158443,9.04067122302224,Calm,1663.62714323814,224166.483236019,568594.290544203,26.7723267911578,0.308690859594619,1.19583849578662,3,97.9761464465833,3
Bulk Carrier,Transoceanic,Steam Turbine,Critical,15.8159636513766,1131.99539203229,1588.17927636965,14.7230861351458,Calm,949.752649510781,49758.2084013835,643770.940461029,63.0671661265521,0.269725704400382,1.36925165960914,8,68.4397221302256,2
Container Ship,Long-haul,Steam Turbine,Fair,24.0748356389189,2397.89160316439,941.271947536091,11.6790492464243,Calm,1072.65341807459,173623.449374093,774411.263131477,50.161964669074,0.239670730361025,1.32432185153575,3,71.7169075063975,0
Fish Carrier,Long-haul,Steam Turbine,Fair,21.945812574666,759.248653752511,763.156766301662,6.38761823121233,Calm,505.937797506175,206866.238710383,212386.315360221,52.8369372545199,0.63670497826732,1.06583892590418,3,85.0189970020824,1
Tanker,Long-haul,Diesel,Critical,21.455260084085,2290.71938075536,489.570857178591,8.9748101717791,Rough,1263.56665790291,255586.389526135,58692.7214563142,58.1394059513138,0.100211332817116,0.903078490634455,7,70.828656389651,1
Fish Carrier,Coastal,Heavy Fuel Oil (HFO),Good,20.5665393224739,2351.55505379395,113.858733960234,13.0640448922032,Rough,56.7682538180017,340885.04601048,914773.627411856,60.592897343073,0.734836428763365,0.591437898331682,9,82.6251948781134,1
Tanker,Long-haul,Heavy Fuel Oil (HFO),Critical,23.6603828958941,2539.65033994184,1989.84575451589,7.17780059817386,Moderate,717.729863989359,406215.222160617,818075.869741154,22.9755845013565,0.72267985145727,1.11545738628038,6,53.0394778103647,1
Tanker,Coastal,Steam Turbine,Critical,24.7579128751753,2798.15994906652,1677.16930555668,13.9435798852961,Calm,327.688890613919,112084.16633277,478315.993273533,41.0634605899121,1.12898889869759,0.860449061647531,7,85.1453636264995,1
Bulk Carrier,Short-haul,Heavy Fuel Oil (HFO),Fair,21.1631630705455,2204.88094964729,1283.73558855014,11.9136433260524,Moderate,941.006434146152,48020.9671172558,662292.693489664,48.5715524023491,1.36171073206334,1.0767100312264,4,66.2177523822723,2
Tanker,Short-haul,Steam Turbine,Fair,10.9249555649153,2073.69472824495,803.893246878826,6.49995283486347,Rough,1353.55477022236,297949.639215752,78856.6458525122,64.0790380613702,0.665585776802667,0.872932782041876,7,70.5843395730903,3
Fish Carrier,Short-haul,Heavy Fuel Oil (HFO),Fair,12.0680452146777,1625.00068982079,203.504512597235,9.53368729077847,Rough,1996.66109996443,228088.596742656,757141.676698376,34.3629777286076,0.385655601107981,1.22328668502359,3,96.544029390792,2
Tanker,Short-haul,Diesel,Critical,12.837382586744,2212.38561250319,1045.77787315537,13.2588463272254,Rough,1908.26847217307,115966.714820226,960527.235684752,68.0693680139,0.222368744828167,0.865788388862868,5,98.1721675804757,3
Container Ship,Short-haul,Diesel,Critical,21.5415534168389,1097.82581662295,507.092459008814,5.3564728018315,Calm,1248.09378325094,445286.558558733,553051.001373964,29.4676077094861,0.250658888852688,0.717556484964021,2,65.919509622333,2
Container Ship,Coastal,Diesel,Good,22.3907442757805,1360.19541649979,1889.55668053686,6.71345427460787,Moderate,1499.88129385794,278292.437790268,933742.373628599,58.0867606109219,1.11397796062219,0.788016790189744,6,74.9456867109339,0
Bulk Carrier,Coastal,Diesel,Good,23.2311354536184,990.994429493434,872.290153244511,13.1707366943031,Rough,1282.59989802389,270078.930905642,381140.423503622,49.65033180245,0.211375719450684,1.37726446268616,2,81.0542534226034,0
Tanker,Long-haul,Heavy Fuel Oil (HFO),Good,19.3790903192647,2371.6460822183,790.340097878827,14.3507418740893,Moderate,840.132596632134,441936.265318086,467188.386492221,47.5857206053433,0.39322720465937,1.01925517206902,4,57.8063855528059,1
Bulk Carrier,Long-haul,Diesel,Critical,22.7516491892998,884.843554521903,203.553004991675,11.1870777236649,Calm,1790.07827247323,307688.799307649,596285.248253702,32.137719567287,1.33966951155006,0.820551065148437,6,65.3263939584357,0
Container Ship,Coastal,Heavy Fuel Oil (HFO),Good,22.7343099466174,2261.89865121581,1096.49089752172,7.14393739165895,Moderate,227.183606365089,73185.4723897957,622174.59633307,63.8833376974613,1.06084907128617,0.586123562849081,9,94.1375975276428,0
Container Ship,Short-haul,Heavy Fuel Oil (HFO),Fair,17.9485473757377,1681.53460104014,350.468301520376,11.8154732860437,Rough,348.700912980578,283127.99503779,485075.493035264,16.3328441306973,0.372284907959951,0.812114394540817,1,88.3327194013415,2
Container Ship,Short-haul,Diesel,Fair,24.3810308863843,1309.60896365919,842.601128582448,10.6370957271432,Calm,675.468710115684,80992.0214865041,940714.963822554,50.6527005709872,1.07126009447064,1.18253426571364,8,80.3893922999281,2
Container Ship,Coastal,Diesel,Critical,22.0590214670927,2029.97856558674,1088.04478892741,11.5616571608155,Calm,1400.84223728484,47178.5041456563,854895.252366321,17.3743582167631,0.108502635891516,1.47880785790319,4,84.6924447881581,0
Bulk Carrier,Coastal,Diesel,Fair,19.0160567436993,1085.75839188244,294.637561628619,14.614544914325,Moderate,1792.51850596579,385207.548285005,531928.214831363,68.3657358612281,1.11510562055808,1.44060418874843,2,75.4958064891234,0
Tanker,Long-haul,Heavy Fuel Oil (HFO),Critical,18.0816483124333,585.195139515232,72.6134796817018,10.7322011913867,Rough,71.4242698167323,157178.509983599,264282.763510594,22.3607081130867,0.111358647765162,0.599731333323557,4,84.7945225616997,1
Container Ship,Transoceanic,Heavy Fuel Oil (HFO),Critical,20.707884502159,2647.54064210206,190.365864697966,6.36784267693399,Moderate,1613.41611690586,311860.025062062,591649.191886082,53.0431499533438,1.08913925600993,0.989372534250555,3,55.1145300812502,2
Container Ship,Short-haul,Diesel,Critical,11.2859134444265,847.701945134996,1795.9979644705,6.77604281768134,Moderate,186.576822359831,407743.514198193,381948.276014358,55.7593367417742,1.18352004975845,0.500494309423301,9,78.0093094309156,2
Tanker,Coastal,Steam Turbine,Critical,22.7203307236565,869.267790088877,210.747906234827,9.46286823213474,Calm,1886.90214546542,275649.971244803,332684.155096323,50.017835731708,1.38908241878677,1.37176453340124,4,73.6637079461824,1
Bulk Carrier,Transoceanic,Heavy Fuel Oil (HFO),Fair,13.8557133392272,1290.39300035119,1531.71902871583,8.56335487063908,Calm,774.019958309002,426874.231288777,995661.655912512,40.0140686853075,1.28446553943458,0.920360198705599,3,61.7095544633323,2
Container Ship,Transoceanic,Diesel,Critical,22.0216510148602,1682.81232546151,658.647620013334,5.12558243971826,Moderate,476.760598629994,299913.635106585,617003.166369805,46.515351720718,0.251625143906721,0.821160411260567,9,85.8149201312964,2
Tanker,Long-haul,Diesel,Good,15.0853711636923,2184.91396392571,1867.47283293689,11.5064569414403,Calm,1426.34529185281,370466.592237096,520022.521801352,32.4928239390663,1.36370714617986,1.27949662623829,9,58.1382361974311,1
Tanker,Short-haul,Steam Turbine,Fair,11.2113682447025,1892.07759653884,173.854681449634,11.7205470378808,Rough,418.800048541869,171501.060708824,530056.526951518,48.7600466408071,0.179941142271551,1.42098258643923,3,89.7867330321059,3
Fish Carrier,Long-haul,Heavy Fuel Oil (HFO),Fair,21.6107742253346,1184.28063393849,372.277380706034,14.1798216774783,Rough,865.073812311717,12427.6378648213,455885.903050045,71.6809668740051,1.29444015165268,0.818628642146384,3,52.3978899011024,1
Fish Carrier,Long-haul,Steam Turbine,Critical,11.3641067415042,2499.93729517017,1133.16427638594,10.1787576091894,Calm,1763.71781214679,243780.251665455,182427.189255096,18.610781854857,1.04381006103834,0.843203934573654,9,93.0109227500415,1
Container Ship,Long-haul,Diesel,Good,17.2308183206398,829.616391289076,824.769133079266,8.37531819030404,Moderate,847.418070361564,50516.7315078438,54166.6980480039,30.8207114245936,1.11157831577041,0.679870953108863,7,79.8710475596068,0
Container Ship,Coastal,Diesel,Critical,17.5659956264277,2813.32284207082,1923.78017404996,12.3237337899525,Moderate,1471.70946655475,402459.28653438,700236.410152357,22.6032956659655,1.1707742242084,0.831313959371402,4,52.9655751931927,0
Tanker,Long-haul,Heavy Fuel Oil (HFO),Good,23.6075462625961,1537.15500822775,307.067806673157,7.03804331842996,Calm,1937.93317177671,72545.9201059795,341953.85680313,23.0699345192018,1.45866089563679,0.926366289938684,1,87.3782441701652,1
Fish Carrier,Transoceanic,Steam Turbine,Fair,21.0304626004933,1934.06254401894,1033.81491922744,6.77486891251651,Rough,325.228201796316,273943.356320273,78755.9752673635,28.4718519771005,0.956230558681084,0.856833226227967,3,77.1814861859267,3
Tanker,Long-haul,Steam Turbine,Critical,14.4341728420414,1432.62184786566,143.18551182937,14.9064793620103,Calm,1560.42817188748,161981.752546034,933936.254238085,61.3825752781815,1.10216415719337,0.962068868768381,8,61.3894543563011,1
Container Ship,Long-haul,Heavy Fuel Oil (HFO),Critical,19.2572777831828,940.211870076883,1288.51529226565,10.2122886239096,Rough,1089.2424602731,133184.294309113,424695.789013559,12.6149357370382,0.386189133050789,0.726744068133226,8,79.0752277184975,0
Fish Carrier,Short-haul,Heavy Fuel Oil (HFO),Critical,23.8571620457654,1779.57234901832,1744.34570700158,13.9103770303147,Rough,1470.70339800624,204876.378482158,377819.887739377,31.9190599242423,1.21708115428718,0.716183914957418,6,85.9353836216759,3
Tanker,Short-haul,Steam Turbine,Critical,19.296927734951,818.271596119538,1781.64834662285,12.7230211845987,Rough,1037.54044478586,196538.972166142,823727.834471232,66.1563676504703,1.20648997215103,0.994865031521851,2,70.4432888894582,3
Tanker,Coastal,Diesel,Good,19.8747861295198,892.008950418059,1364.92789134115,12.0905095171167,Calm,1423.35167559594,103476.271997852,504897.04496037,58.6586289745425,0.657489269110294,0.800839815660748,7,89.8975680391729,1
Tanker,Short-haul,Heavy Fuel Oil (HFO),Critical,17.4531358630686,2521.81665931979,1955.86233425212,10.3678681813665,Moderate,125.665025330071,313967.159561272,232422.273865486,35.6695372705158,0.909494438059643,0.728368518914709,6,59.2549070644398,3
Fish Carrier,Long-haul,Steam Turbine,Critical,17.3022822717849,1471.81514596066,143.360827061324,14.4567393917051,Calm,159.701476858978,35043.7684493612,141088.685940308,44.7708061028442,1.36266104217255,1.49019646567017,7,94.2187318130117,1
Fish Carrier,Short-haul,Steam Turbine,Critical,22.8531036952056,893.427120122317,1822.0201069436,5.15722296526094,Moderate,495.842238795986,438530.967875368,397547.838537616,31.5173634847755,1.14722904817071,1.2854040354003,8,92.727943621786,3
Bulk Carrier,Long-haul,Steam Turbine,Good,10.1361475860041,1413.98766289933,492.334892409086,13.1641267481166,Rough,624.060993069939,427354.193006675,93533.6502833518,50.1743061105576,0.533240693689799,0.653981707961269,6,78.742262193951,0
Tanker,Transoceanic,Heavy Fuel Oil (HFO),Fair,18.0608743226693,2894.64931757318,819.542420007588,5.0739155664859,Calm,776.297721086679,386014.136523651,86261.1360137899,44.7581528436494,0.615772994075879,1.4780738166652,7,79.8910052889443,3
Tanker,Long-haul,Heavy Fuel Oil (HFO),Fair,12.3543307141496,2281.87213572689,701.392059526955,14.4543509390462,Rough,368.591131506917,389626.207978693,765014.351381193,25.1592071655933,0.504986546281424,1.04440578044688,1,87.0157346616209,1
Container Ship,Short-haul,Heavy Fuel Oil (HFO),Critical,15.9363676251392,1622.47630594981,1471.94398971576,11.5482654644943,Calm,1912.17926608766,302164.029218116,108439.700269216,51.8642003906009,1.39253320758716,0.542800541005634,5,83.9853082769447,2
Tanker,Long-haul,Heavy Fuel Oil (HFO),Critical,24.1175381623632,866.922591035389,599.295376512192,7.03284991212763,Moderate,1427.6326543681,205599.94389531,290527.957567596,65.6218208045424,1.48957151918301,1.23048255431794,2,60.6272351079324,1
Fish Carrier,Long-haul,Diesel,Fair,16.8918219624313,609.453325393279,1653.6970133912,10.5914917875857,Moderate,1333.94983393048,408389.254652424,792784.018003065,40.5339926219683,0.95302323290732,0.725719569344416,8,50.3108242157502,1
Container Ship,Short-haul,Diesel,Critical,14.6541699680627,1313.71681949207,1000.23273615866,10.7075284096102,Moderate,419.599389009437,209711.294522276,816674.502615262,51.7128224645494,1.13868780794598,1.0455153422674,4,96.151704187282,2
Container Ship,Transoceanic,Diesel,Critical,10.5640863759656,2328.22791295544,68.0860702348661,7.55660870476908,Moderate,871.964969299521,330241.898214164,438941.554720979,28.7953217175676,0.41667708173811,0.929613974280304,4,93.453290183878,2
Bulk Carrier,Short-haul,Heavy Fuel Oil (HFO),Critical,21.2753632836493,2990.79497832611,201.249383569386,14.9105892283651,Calm,242.91336636273,325233.152310585,696318.558529375,61.1447507674684,1.19832033788977,0.806251492236423,1,95.3900660948171,2
Tanker,Transoceanic,Diesel,Fair,11.2800378586458,1554.2889365946,170.930112168074,12.5744897476601,Calm,1269.95494338743,24831.5199834454,270000.09452318,71.3816102048536,0.100582640453564,0.971197115796164,4,61.0309515207443,3
Container Ship,Long-haul,Steam Turbine,Fair,11.509124379192,712.004480210759,1417.08102881144,6.45008919098476,Moderate,362.999948325165,385251.781609293,488873.960115429,70.9459049746373,1.02726528285383,0.749385075988169,5,89.8961720776124,0
